epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,296.955,0.60063,0.27167,0.9814,0.99875,0.9955,0.995,0.84081,0.72293,0.29206,1.02543,0.00112239,0.00112239,0.00112239
101,299.913,0.61816,0.27344,0.98672,0.93752,0.90143,0.95941,0.81814,0.64374,0.41515,0.99275,0.00111689,0.00111689,0.00111689
102,302.889,0.61044,0.27608,0.98043,0.99896,0.9955,0.995,0.85187,0.6903,0.27376,0.99142,0.00111139,0.00111139,0.00111139
103,305.845,0.61826,0.27237,0.97054,0.99934,0.9955,0.995,0.83141,0.77441,0.28766,1.03504,0.00110589,0.00110589,0.00110589
104,308.818,0.61136,0.27581,0.99319,0.99396,0.9955,0.99495,0.85432,0.7121,0.29113,1.00955,0.00110039,0.00110039,0.00110039
105,311.78,0.59302,0.27022,0.98247,0.99895,0.9955,0.995,0.86595,0.64788,0.26879,0.97529,0.00109489,0.00109489,0.00109489
106,314.772,0.59696,0.26554,0.97723,0.99833,0.99478,0.995,0.85542,0.65185,0.27007,0.9939,0.00108938,0.00108938,0.00108938
107,317.734,0.56884,0.2552,0.95226,0.99553,0.99099,0.995,0.86615,0.60939,0.28457,0.96382,0.00108388,0.00108388,0.00108388
108,320.722,0.58028,0.26035,0.9657,0.99858,0.9955,0.995,0.8712,0.63272,0.2588,0.9638,0.00107838,0.00107838,0.00107838
109,323.716,0.58649,0.26055,0.97092,0.99663,0.99019,0.995,0.86516,0.63603,0.28375,0.98412,0.00107288,0.00107288,0.00107288
110,326.67,0.58597,0.27053,0.97061,0.98668,0.97432,0.99382,0.85753,0.65489,0.32197,0.99288,0.00106738,0.00106738,0.00106738
111,329.622,0.57949,0.25989,0.97695,0.99926,0.9955,0.995,0.85336,0.68671,0.26972,0.99706,0.00106188,0.00106188,0.00106188
112,332.578,0.59093,0.26479,0.9714,0.99881,0.9955,0.995,0.86956,0.6124,0.2601,0.97491,0.00105638,0.00105638,0.00105638
113,335.543,0.56888,0.2585,0.95781,0.99882,0.9955,0.995,0.87309,0.58624,0.25078,0.94862,0.00105088,0.00105088,0.00105088
