Epoch 78: Loss = 60.2742, NME = 0.0046, Pixel Error = 65.8463, Val Loss = 111.0510, Val NME = 0.0060, Val Pixel Error = 91.5294
Epoch 79: Loss = 85.3811, NME = 0.0056, Pixel Error = 79.8887, Val Loss = 84.8726, Val NME = 0.0052, Val Pixel Error = 78.1723
Epoch 80: Loss = 56.8915, NME = 0.0045, Pixel Error = 64.8786, Val Loss = 101.1473, Val NME = 0.0057, Val Pixel Error = 83.1512
Epoch 81: Loss = 44.6225, NME = 0.0041, Pixel Error = 57.9302, Val Loss = 92.6399, Val NME = 0.0054, Val Pixel Error = 80.3901
Epoch 82: Loss = 42.9218, NME = 0.0039, Pixel Error = 55.4269, Val Loss = 100.3302, Val NME = 0.0059, Val Pixel Error = 85.3268
Epoch 83: Loss = 37.8472, NME = 0.0037, Pixel Error = 52.8997, Val Loss = 85.5856, Val NME = 0.0049, Val Pixel Error = 75.5795
Epoch 84: Loss = 36.0176, NME = 0.0035, Pixel Error = 50.6479, Val Loss = 74.4075, Val NME = 0.0046, Val Pixel Error = 70.8028
Epoch 85: Loss = 37.4367, NME = 0.0036, Pixel Error = 51.8839, Val Loss = 67.1644, Val NME = 0.0044, Val Pixel Error = 63.6951
Epoch 86: Loss = 36.1643, NME = 0.0035, Pixel Error = 48.7075, Val Loss = 81.1709, Val NME = 0.0052, Val Pixel Error = 74.4557
Epoch 87: Loss = 33.1026, NME = 0.0034, Pixel Error = 48.7081, Val Loss = 92.0288, Val NME = 0.0055, Val Pixel Error = 83.1397
Epoch 88: Loss = 33.7409, NME = 0.0034, Pixel Error = 47.8043, Val Loss = 77.8834, Val NME = 0.0048, Val Pixel Error = 69.2985
Epoch 89: Loss = 36.5580, NME = 0.0037, Pixel Error = 52.5741, Val Loss = 81.1545, Val NME = 0.0050, Val Pixel Error = 72.5591
Epoch 90: Loss = 34.2465, NME = 0.0035, Pixel Error = 49.0048, Val Loss = 73.7216, Val NME = 0.0047, Val Pixel Error = 69.3518
Epoch 91: Loss = 35.5613, NME = 0.0036, Pixel Error = 50.0236, Val Loss = 79.2254, Val NME = 0.0049, Val Pixel Error = 75.4753
Epoch 92: Loss = 31.1438, NME = 0.0033, Pixel Error = 46.5815, Val Loss = 83.3388, Val NME = 0.0051, Val Pixel Error = 76.6804
Epoch 93: Loss = 39.3652, NME = 0.0038, Pixel Error = 51.6001, Val Loss = 76.9810, Val NME = 0.0048, Val Pixel Error = 71.4719
Epoch 94: Loss = 39.1534, NME = 0.0038, Pixel Error = 53.8328, Val Loss = 87.4204, Val NME = 0.0051, Val Pixel Error = 77.5566
Epoch 95: Loss = 55.8547, NME = 0.0045, Pixel Error = 65.4387, Val Loss = 125.1015, Val NME = 0.0067, Val Pixel Error = 96.9826
